aX,aY,aZ,gX,gY,gZ
-1.798,1.244,-0.825,-312.534,-25.679,70.901
-1.795,1.201,-0.860,-317.786,-28.275,83.450
-1.839,1.119,-0.864,-323.481,-33.069,95.237
-1.845,1.027,-0.913,-328.931,-39.023,106.763
-1.829,0.910,-0.981,-333.679,-45.191,117.237
-1.796,0.778,-1.059,-337.634,-51.069,127.588
-1.749,0.650,-1.128,-340.840,-56.656,135.588
-1.694,0.538,-1.220,-343.008,-60.763,141.084
-1.633,0.429,-1.343,-344.092,-63.038,143.954
-1.577,0.281,-1.475,-342.412,-62.046,144.443
-1.517,0.142,-1.601,-337.237,-59.221,142.458
-1.455,0.016,-1.689,-327.176,-55.008,137.405
-1.399,-0.104,-1.747,-311.191,-49.053,129.160
-1.368,-0.197,-1.832,-288.366,-41.817,117.160
-1.338,-0.288,-1.892,-257.817,-33.023,102.015
-1.312,-0.357,-1.919,-222.061,-23.710,85.221
-1.293,-0.433,-1.924,-181.344,-14.809,66.351
-1.277,-0.455,-1.927,-136.000,-8.397,45.649
-1.251,-0.435,-1.893,-87.740,-4.885,23.450
-1.209,-0.377,-1.848,-36.076,-3.344,0.489
-1.144,-0.292,-1.776,16.275,-3.649,-21.618
-1.083,-0.181,-1.644,69.115,-6.992,-43.954
-1.003,-0.064,-1.537,121.420,-10.931,-65.374
-0.909,0.131,-1.410,169.908,-13.725,-83.832
-0.834,0.300,-1.297,210.183,-15.985,-98.107
-0.745,0.475,-1.213,242.443,-17.450,-110.122
-0.608,0.653,-1.123,266.504,-18.641,-118.702
-0.479,0.808,-1.017,281.771,-19.802,-124.382
-0.367,0.946,-0.946,288.763,-19.893,-127.023
-0.238,1.090,-0.873,288.198,-20.305,-126.962
-0.109,1.219,-0.819,281.282,-19.023,-123.176
-0.001,1.278,-0.815,268.641,-17.740,-115.969
0.103,1.355,-0.780,251.069,-14.947,-104.290
0.159,1.376,-0.762,230.076,-10.824,-89.435
0.181,1.376,-0.744,208.977,-8.168,-73.298
0.169,1.352,-0.760,188.031,-6.000,-55.756
0.138,1.297,-0.761,168.855,-6.137,-37.634
0.080,1.184,-0.808,153.618,-9.359,-19.863
-0.009,1.043,-0.842,143.878,-13.634,-4.229
-0.066,0.948,-0.855,139.023,-18.244,10.534
-0.156,0.808,-0.864,139.527,-24.336,23.344
-0.253,0.707,-0.915,144.779,-32.473,33.084
-0.357,0.609,-0.950,153.237,-41.832,39.618
-0.442,0.515,-0.975,164.015,-52.153,42.962
-0.501,0.404,-0.999,175.634,-61.527,43.710
-0.538,0.336,-1.007,187.939,-70.809,42.198
-0.568,0.260,-1.021,199.191,-77.924,38.672
-0.579,0.209,-1.046,209.832,-82.962,33.802
-0.585,0.178,-1.058,218.489,-85.908,28.000
-0.594,0.168,-1.076,225.237,-86.595,22.198
-0.597,0.145,-1.099,229.771,-85.893,17.160
