aX,aY,aZ,gX,gY,gZ
-0.548,1.123,0.083,19.359,-33.679,-16.305
-0.525,1.111,0.068,9.298,-21.588,1.908
-0.538,1.095,0.087,-2.611,-9.298,18.901
-0.570,1.042,0.104,-15.527,2.473,33.573
-0.620,1.002,0.127,-30.351,11.939,47.664
-0.665,0.959,0.148,-45.237,18.962,60.122
-0.734,0.882,0.146,-60.718,23.420,70.885
-0.787,0.818,0.150,-75.786,24.733,80.382
-0.833,0.731,0.124,-89.756,24.092,88.443
-0.843,0.625,0.085,-102.229,22.153,96.092
-0.843,0.535,0.058,-111.435,20.260,102.672
-0.815,0.411,0.036,-116.672,19.237,108.137
-0.775,0.291,0.017,-117.252,18.748,112.137
-0.737,0.180,-0.010,-113.618,18.534,114.641
-0.714,0.080,-0.037,-106.092,18.092,115.542
-0.681,-0.011,-0.059,-95.939,17.389,115.664
-0.651,-0.092,-0.080,-84.000,15.908,114.214
-0.622,-0.142,-0.087,-72.580,14.168,112.198
-0.575,-0.204,-0.110,-60.809,12.366,109.878
-0.533,-0.261,-0.107,-50.550,11.603,107.634
-0.470,-0.302,-0.114,-42.168,11.802,104.977
-0.412,-0.349,-0.089,-36.229,13.328,102.031
-0.355,-0.379,-0.061,-32.870,15.939,98.672
-0.301,-0.391,-0.042,-32.198,18.489,94.992
-0.260,-0.394,-0.040,-33.267,20.595,91.069
-0.230,-0.405,-0.028,-35.924,22.916,88.000
-0.189,-0.413,-0.025,-40.931,25.664,84.672
-0.123,-0.420,-0.016,-47.053,29.725,81.878
-0.055,-0.439,0.002,-54.473,34.763,79.328
0.011,-0.460,0.011,-61.832,40.382,76.947
0.063,-0.468,0.013,-68.427,46.061,74.519
0.123,-0.486,0.020,-74.076,51.740,71.725

1.005,-1.458,0.550,149.802,-263.542,-133.725
1.020,-1.464,0.551,149.664,-263.954,-134.092
1.031,-1.467,0.561,149.344,-264.305,-134.534
1.031,-1.467,0.561,149.084,-264.718,-134.824
1.077,-1.490,0.569,147.802,-266.092,-136.550
1.142,-1.535,0.579,148.351,-270.611,-136.840
1.195,-1.579,0.634,148.366,-272.611,-136.824
1.247,-1.618,0.656,147.328,-274.916,-137.557
1.312,-1.653,0.692,146.779,-280.885,-137.771
1.353,-1.683,0.726,146.137,-288.229,-138.901
1.413,-1.707,0.768,145.832,-296.061,-140.366
1.472,-1.744,0.793,144.748,-304.519,-141.374
1.531,-1.771,0.807,142.824,-313.695,-142.321
1.604,-1.814,0.815,141.145,-323.786,-141.924
1.646,-1.835,0.864,139.695,-333.282,-141.237
1.687,-1.878,0.868,139.924,-343.450,-140.290
1.696,-1.898,0.900,142.092,-354.321,-138.977
1.704,-1.935,0.917,145.756,-365.527,-136.870
1.670,-1.971,0.951,150.794,-377.115,-131.740
1.629,-2.000,0.986,155.969,-388.198,-124.168
1.562,-2.000,1.029,161.053,-400.489,-115.252
1.447,-2.000,1.066,163.924,-413.145,-107.725
1.337,-2.000,1.101,163.008,-427.542,-102.855
1.241,-2.000,1.094,157.435,-442.901,-101.435
1.130,-2.000,1.095,147.725,-457.786,-102.885
1.029,-2.000,1.088,135.710,-470.305,-106.534
0.945,-2.000,1.063,122.794,-476.885,-112.534
0.870,-2.000,0.979,109.374,-479.405,-119.969
0.841,-2.000,0.887,96.733,-477.298,-128.931
0.850,-2.000,0.797,86.168,-468.656,-139.038
0.876,-2.000,0.705,76.931,-452.550,-149.603
0.932,-2.000,0.646,70.137,-427.313,-159.557
0.990,-1.997,0.629,65.496,-395.664,-167.069
1.010,-1.964,0.661,62.137,-357.527,-172.214
0.971,-1.914,0.741,60.153,-318.137,-175.725
0.881,-1.851,0.830,58.977,-281.298,-179.282
0.767,-1.784,0.947,59.786,-249.618,-182.489
0.662,-1.739,1.067,62.611,-228.427,-185.313
0.531,-1.667,1.232,65.786,-214.107,-189.328
0.402,-1.606,1.341,69.679,-207.450,-195.771
0.251,-1.538,1.462,74.092,-207.130,-205.038
0.119,-1.421,1.572,78.947,-212.061,-216.550
-0.012,-1.308,1.528,85.756,-217.863,-228.641
-0.075,-1.126,1.588,89.252,-223.313,-238.611
-0.158,-0.974,1.506,91.756,-228.168,-243.939
-0.207,-0.819,1.440,94.183,-228.366,-245.573
-0.227,-0.650,1.364,95.511,-222.565,-244.809
-0.219,-0.455,1.292,95.344,-210.382,-242.718
-0.221,-0.286,1.224,91.725,-195.573,-239.557
-0.268,-0.113,1.152,84.443,-180.092,-236.168
-0.325,0.037,1.101,73.969,-165.344,-233.420
-0.364,0.198,1.041,61.893,-152.824,-230.656
-0.407,0.349,0.972,49.649,-141.985,-226.427
-0.448,0.482,0.906,38.901,-131.817,-220.580
-0.474,0.568,0.872,30.656,-121.924,-214.107
-0.480,0.666,0.799,23.725,-111.099,-205.832
-0.477,0.759,0.733,18.702,-100.656,-196.183
-0.479,0.845,0.658,15.969,-91.527,-185.344
-0.480,0.934,0.568,14.519,-84.168,-173.389
-0.483,1.019,0.496,14.275,-78.489,-161.023
-0.455,1.099,0.438,14.702,-72.916,-147.435
-0.438,1.151,0.382,14.992,-67.374,-132.290
-0.425,1.214,0.314,13.954,-60.595,-114.885
-0.411,1.268,0.229,12.489,-53.374,-96.397
-0.389,1.289,0.186,9.863,-45.160,-77.893
-0.382,1.288,0.160,4.519,-37.298,-59.588
-0.365,1.287,0.128,-3.786,-29.878,-41.282
-0.369,1.260,0.104,-13.985,-22.565,-23.313
-0.389,1.198,0.091,-26.733,-15.359,-4.748
-0.399,1.117,0.093,-39.969,-10.031,13.145
-0.429,1.031,0.109,-51.618,-7.115,29.435
-0.482,0.937,0.097,-61.725,-6.947,44.931
-0.525,0.864,0.086,-68.458,-8.656,57.771
-0.546,0.768,0.050,-72.641,-11.008,69.328
-0.569,0.656,0.022,-75.008,-12.779,79.847
-0.567,0.567,-0.021,-75.863,-13.740,88.595
-0.547,0.438,-0.067,-75.740,-14.290,96.870
-0.515,0.321,-0.126,-74.870,-14.137,103.740
-0.503,0.217,-0.181,-72.504,-13.084,108.611
-0.460,0.116,-0.230,-68.733,-10.092,112.076
-0.404,0.030,-0.258,-63.908,-6.275,114.046
-0.360,-0.061,-0.277,-58.580,-1.130,114.382
-0.314,-0.110,-0.278,-53.481,3.679,113.237
-0.276,-0.181,-0.296,-49.191,9.496,111.160
-0.235,-0.242,-0.279,-46.092,14.992,108.321
-0.207,-0.300,-0.283,-44.092,19.725,105.252
-0.177,-0.350,-0.275,-42.901,22.794,102.198
-0.155,-0.396,-0.280,-42.321,26.092,99.282
-0.131,-0.444,-0.267,-42.153,29.481,96.443
-0.091,-0.476,-0.253,-42.198,34.061,94.412
-0.038,-0.521,-0.220,-42.992,39.450,91.939
-0.008,-0.599,-0.133,-45.298,45.099,88.336
0.042,-0.588,-0.085,-49.252,46.977,81.527
0.146,-0.543,-0.135,-53.450,50.840,75.496
0.199,-0.546,-0.124,-56.687,56.824,72.534
0.267,-0.568,-0.094,-59.145,64.382,71.756
0.317,-0.592,-0.048,-60.626,72.931,72.031
0.358,-0.579,-0.024,-61.435,81.618,71.756
0.389,-0.577,0.000,-61.069,88.702,70.443
0.415,-0.572,0.032,-59.328,93.435,68.733

0.949,-1.492,0.597,220.305,-260.916,-165.084
0.959,-1.490,0.604,221.511,-261.634,-165.130
0.971,-1.496,0.610,222.733,-262.489,-165.191
0.971,-1.496,0.610,223.771,-263.328,-165.313
1.020,-1.519,0.638,230.168,-268.198,-165.282
1.069,-1.545,0.672,237.863,-275.252,-163.893
1.112,-1.569,0.715,246.107,-283.328,-161.160
1.159,-1.602,0.758,254.076,-290.916,-157.481
1.214,-1.627,0.815,260.366,-298.763,-154.687
1.257,-1.664,0.873,265.252,-305.740,-153.939
1.317,-1.670,0.920,268.916,-313.344,-154.916
1.382,-1.655,0.972,271.359,-322.779,-156.885
1.428,-1.659,1.007,270.672,-331.939,-160.305
1.488,-1.646,1.077,266.611,-341.481,-163.588
1.540,-1.629,1.130,259.542,-351.374,-165.847
1.573,-1.610,1.193,250.382,-359.405,-167.802
1.601,-1.603,1.266,239.435,-367.008,-168.656
1.630,-1.595,1.302,227.756,-377.176,-168.748
1.648,-1.576,1.329,217.191,-389.069,-166.885
1.655,-1.559,1.343,207.939,-402.198,-162.718
1.646,-1.554,1.352,198.809,-413.359,-156.305
1.601,-1.585,1.392,188.656,-423.603,-148.809
